Config,Opponent,Game_ID,Q_Starts,Outcome,Moves,Total_Reward
baseline,NoisyHeuristicAgent,79,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,80,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,81,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,82,False,Loss,6,-1.0
baseline,NoisyHeuristicAgent,83,False,Loss,5,-1.0
baseline,NoisyHeuristicAgent,84,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,85,False,Loss,5,-1.0
baseline,NoisyHeuristicAgent,86,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,87,False,Loss,6,-1.0
baseline,NoisyHeuristicAgent,88,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,89,False,Loss,5,-1.0
baseline,NoisyHeuristicAgent,90,False,Loss,6,-1.0
baseline,NoisyHeuristicAgent,91,False,Loss,5,-1.0
baseline,NoisyHeuristicAgent,92,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,93,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,94,False,Loss,5,-1.0
baseline,NoisyHeuristicAgent,95,False,Loss,5,-1.0
baseline,NoisyHeuristicAgent,96,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,97,False,Loss,3,-1.0
baseline,NoisyHeuristicAgent,98,False,Loss,5,-1.0
baseline,NoisyHeuristicAgent,99,False,Loss,5,-1.0
baseline,AlphaBetaAgent,0,True,Loss,4,-1.0
baseline,AlphaBetaAgent,1,True,Loss,4,-1.0
baseline,AlphaBetaAgent,2,True,Loss,4,-1.0
baseline,AlphaBetaAgent,3,True,Loss,5,-1.0
baseline,AlphaBetaAgent,4,True,Loss,4,-1.0
baseline,AlphaBetaAgent,5,True,Loss,6,-1.0
baseline,AlphaBetaAgent,6,True,Loss,4,-1.0
baseline,AlphaBetaAgent,7,True,Loss,6,-1.0
baseline,AlphaBetaAgent,8,True,Loss,5,-1.0
baseline,AlphaBetaAgent,9,True,Loss,4,-1.0
baseline,AlphaBetaAgent,10,False,Loss,3,-1.0
baseline,AlphaBetaAgent,11,False,Loss,4,-1.0
baseline,AlphaBetaAgent,12,False,Loss,4,-1.0
baseline,AlphaBetaAgent,13,False,Loss,3,-1.0
baseline,AlphaBetaAgent,14,False,Loss,3,-1.0
baseline,AlphaBetaAgent,15,False,Loss,5,-1.0
baseline,AlphaBetaAgent,16,False,Loss,3,-1.0
baseline,AlphaBetaAgent,17,False,Loss,3,-1.0
baseline,AlphaBetaAgent,18,False,Loss,3,-1.0
baseline,AlphaBetaAgent,19,False,Loss,3,-1.0
improved,RandomAgent,0,True,Win,10,0.91
improved,RandomAgent,1,True,Win,8,0.9299999999999999
improved,RandomAgent,2,True,Win,11,0.9
improved,RandomAgent,3,True,Loss,11,-1.1
improved,RandomAgent,4,True,Loss,10,-1.09
improved,RandomAgent,5,True,Loss,9,-1.08
improved,RandomAgent,6,True,Win,7,0.94
improved,RandomAgent,7,True,Win,11,0.9
improved,RandomAgent,8,True,Win,11,0.9
improved,RandomAgent,9,True,Win,9,0.92
improved,RandomAgent,10,True,Win,9,0.92
improved,RandomAgent,11,True,Win,11,0.9
improved,RandomAgent,12,True,Win,7,0.94
improved,RandomAgent,13,True,Win,5,0.96
improved,RandomAgent,14,True,Loss,9,-1.08
improved,RandomAgent,15,True,Loss,9,-1.08
improved,RandomAgent,16,True,Loss,10,-1.09
improved,RandomAgent,17,True,Loss,9,-1.08
improved,RandomAgent,18,True,Loss,10,-1.09
improved,RandomAgent,19,True,Win,10,0.91
improved,RandomAgent,20,True,Draw,13,-0.11999999999999998
improved,RandomAgent,21,True,Win,13,0.88
improved,RandomAgent,22,True,Loss,7,-1.06
improved,RandomAgent,23,True,Win,13,0.88
improved,RandomAgent,24,True,Loss,11,-1.1
improved,RandomAgent,25,True,Loss,7,-1.06
improved,RandomAgent,26,True,Win,9,0.92
improved,RandomAgent,27,True,Win,13,0.88
improved,RandomAgent,28,True,Win,8,0.9299999999999999
improved,RandomAgent,29,True,Win,6,0.95
improved,RandomAgent,30,True,Win,8,0.9299999999999999
improved,RandomAgent,31,True,Loss,10,-1.09
improved,RandomAgent,32,True,Loss,12,-1.1099999999999999
improved,RandomAgent,33,True,Win,12,0.89
improved,RandomAgent,34,True,Loss,9,-1.08
improved,RandomAgent,35,True,Win,9,0.92
improved,RandomAgent,36,True,Loss,10,-1.09
improved,RandomAgent,37,True,Loss,9,-1.08
improved,RandomAgent,38,True,Loss,9,-1.08
improved,RandomAgent,39,True,Win,10,0.91
improved,RandomAgent,40,True,Win,13,0.88
improved,RandomAgent,41,True,Draw,13,-0.11999999999999998
improved,RandomAgent,42,True,Win,6,0.95
improved,RandomAgent,43,True,Win,11,0.9
improved,RandomAgent,44,True,Win,7,0.94
improved,RandomAgent,45,True,Win,10,0.91
improved,RandomAgent,46,True,Win,8,0.9299999999999999
improved,RandomAgent,47,True,Win,9,0.92
improved,RandomAgent,48,True,Loss,10,-1.09
improved,RandomAgent,49,True,Win,11,0.9
improved,RandomAgent,50,False,Win,4,0.97
improved,RandomAgent,51,False,Loss,9,-1.08
improved,RandomAgent,52,False,Loss,8,-1.07
improved,RandomAgent,53,False,Loss,9,-1.08
improved,RandomAgent,54,False,Loss,9,-1.08
improved,RandomAgent,55,False,Win,10,0.91
improved,RandomAgent,56,False,Loss,7,-1.06
improved,RandomAgent,57,False,Win,5,0.96
improved,RandomAgent,58,False,Loss,10,-1.09
improved,RandomAgent,59,False,Win,12,0.89
